Object code,COM pixel X coordinate,COM pixel Y coordinate,COM mass,Bounding box (BB) left X coordinate,BB top  Y coordinate,BB bottom Y coordinate,White tape measurement,Yellow tape measurement
G,145,80,59,17,35,477,106,70,0
G,26,114,256,4,7,479,134,70,0
G,27,87,41,7,19,110,133,70,0
G,95,105,173,17,7,480,133,65,0
G,161,47,40,6,6,477,126,65,0
G,148,42,45,6,6,466,92,65,0
G,77,97,201,4,35,479,132,60,0
G,57,70,34,6,37,478,103,60,0
G,99,66,52,4,7,482,106,60,0
G,59,37,45,4,7,479,94,50,0
G,94,61,53,4,35,476,114,50,0
G,61,84,132,5,6,479,130,50,0
G,92,76,105,4,8,481,123,40,0
G,130,66,58,5,7,479,127,40,0
G,137,80,68,18,7,478,130,40,0
G,37,100,285,4,6,481,142,30,0
G,17,87,251,4,39,116,132,30,0
G,44,100,115,4,6,476,137,30,0
G,50,33,41,7,6,469,133,20,0
G,174,43,42,4,6,477,127,20,0
G,34,53,47,6,6,473,110,20,0
G,17,40,261,4,6,35,123,70,30
G,18,56,215,4,9,35,95,70,30
G,18,60,158,4,34,35,96,70,30
G,25,53,226,4,7,475,112,60,30
G,22,54,184,4,31,88,116,60,30
G,31,94,86,4,26,482,127,60,30
G,27,57,211,4,18,480,112,50,30
G,40,108,2,4,94,77,123,50,30
G,33,41,109,29,6,155,60,50,30
G,17,49,379,4,6,155,117,40,30
G,27,35,257,12,6,478,99,40,30
G,19,52,337,4,6,155,129,40,30
G,14,124,62,4,112,25,128,70,15
G,23,50,311,4,6,40,128,70,15
G,25,40,199,14,6,78,63,70,15
G,24,25,92,8,6,65,122,60,15
G,19,50,360,4,6,42,109,60,15
G,24,53,366,4,6,489,121,60,15
,22,44,326,4,6,51,115,50,15
G,10,82,71,4,46,21,117,50,15
G,31,73,56,4,54,43,126,50,15
G,21,35,301,4,6,42,66,40,15
G,25,46,316,4,6,489,131,40,15
G,22,46,383,4,6,83,131,40,15
G,36,35,172,17,6,485,61,30,15
G,25,51,288,4,6,481,89,30,15
G,23,52,321,4,6,85,129,30,15
G,21,49,316,4,6,82,130,20,15
G,23,49,331,4,6,44,88,20,15
G,9,77,33,4,41,32,106,20,15
